"","set_num","name","year","theme","themeGroup","subtheme","weight","parts","size","boxSize","minifigs","instructionsCount","packagingType","availability","wantedByTotal","avgSellPrice","offersByTotal","USRetailPrice","profit","profitability","age"
"1","1130-1","Plastic Folder for Building Instructions",1980,"Service Packs","Miscellaneous","no subtheme",505,1,"31.4 x 23 x 2.5 cm",1805.5,0,0,"Polybag","LEGO exclusive",59,13.05,1,14,-0.949999999999999,-6.79,38
"2","10801-1","Baby Animals",2016,"Duplo","Pre-school","no subtheme",180,13,"19 x 6.7 x 14 cm",1782.2,0,0,"Box","Retail",75,11.32,22,9.99,1.33,13.31,2
"3","10656-1","My First LEGO Princess",2013,"Bricks and More","Basic","no subtheme",148,88,"15.5 x 14 x 6 cm",1302,1,2,"Box","Retail",159,11.58,21,9.99,1.59,15.92,5
"4","20214-1","Adventure Designer",2013,"Master Builder Academy","Miscellaneous","no subtheme",2009,638,"43 x 27 x 7 cm",8127,0,0,"Box","LEGO exclusive",570,95,15,79.99,15.01,18.76,5
"5","10133-1","Burlington Northern Santa Fe (BNSF) Locomotive",2005,"Trains","Modern day","9 V",568.72,407,"28.5 x 19 x 7 cm",3790.5,2,1,"Box","LEGO exclusive",1664,260.42,23,40,220.42,551.05,13
"6","10657-1","My First LEGO Set",2013,"Bricks and More","Basic","no subtheme",350,148,"19 x 14.3 x 12.8 cm",3477.76,1,2,"Box","Retail",186,12.42,3,14.99,-2.57,-17.14,5
"7","10802-1","Savanna",2016,"Duplo","Pre-school","no subtheme",472,18,"26.1 x 19 x 8.7 cm",4314.33,1,2,"Box","Retail",90,16.64,7,19.99,-3.35,-16.76,2
"8","20215-1","Invention Designer",2013,"Master Builder Academy","Miscellaneous","no subtheme",1957,675,"43.18 x 27.31 x 7 cm",8254.7206,3,0,"Box","LEGO exclusive",485,97.64,11,79.99,17.65,22.07,5
"9","2126-1","Train Cars",1997,"Trains","Modern day","9 V",900,378,"48 x 19 x 7 cm",6384,5,1,"Box","Retail - limited",788,189,5,69.5,119.5,171.94,21
"10","10134-1","Y-wing Attack Starfighter",2004,"Star Wars","Licensed","Ultimate Collector Series",2285,1473,"57.5 x 38.3 x 9 cm",19820.25,1,1,"Box","Retail - limited",4421,945.84,24,120,825.84,688.2,14
"11","10659-1","Suitcase",2013,"Bricks and More","Basic","no subtheme",782,146,"28.2 x 26.5 x 6.3 cm",4707.99,2,4,"Other","Retail",221,26.36,8,24.99,1.37,5.48,5
"12","10803-1","Arctic",2016,"Duplo","Pre-school","no subtheme",767,40,"37.5 x 26 x 9 cm",8775,2,2,"Box","Retail",173,18.07,25,29.99,-11.92,-39.75,2
"13","1032-1","Technic II Powered Machines Set",1984,"Dacta","Educational","Technic",1487,278,"39 x 31.2 x 6 cm",7300.8,0,0,"{Not specified}","{Not specified}",77,150,2,80,70,87.5,34
"14","10143-1","Death Star II",2005,"Star Wars","Licensed","Ultimate Collector Series",6811,3441,"58.7 x 50 x 21 cm",61635,0,1,"Box","Retail - limited",6032,1283.41,12,269.99,1013.42,375.35,13
"15","10660-1","Pink Suitcase",2013,"Bricks and More","Basic","no subtheme",796,151,"28.2 x 26.5 x 6.3 cm",4707.99,2,4,"Other","Retail",188,20.56,11,24.99,-4.43,-17.73,5
"16","10804-1","Jungle",2016,"Duplo","Pre-school","no subtheme",1360,86,"35 x 37 x 11 cm",14245,2,3,"Box","Retail",119,39.83,14,49.99,-10.16,-20.32,2
"17","10144-1","Sandcrawler",2005,"Star Wars","Licensed","Episode IV",2442,1669,"57.2 x 38.1 x 9 cm",19613.88,11,1,"Box","Retail",4403,245.81,46,139.99,105.82,75.59,13
"18","30042-1","Mini Sub",2010,"Atlantis","Action/Adventure","no subtheme",20.8,36,"13.8 x 13.8 x 1.5 cm",285.66,1,4,"Polybag","Retail - limited",639,4.36,78,3.99,0.37,9.27,8
"19","1747-1","Treasure Surprise",1996,"Pirates","Historical","no subtheme",32,22,"7 x 7 x 4.6 cm",225.4,1,1,"Box","Retail",673,12.48,7,2,10.48,524,22
"20","21301-1","Birds",2015,"Ideas","Miscellaneous","no subtheme",815,580,"35 x 19 x 6 cm",3990,0,3,"Box","Retail - limited",1550,67.59,146,44.99,22.6,50.23,3
"21","10661-1","My First LEGO Fire Station",2013,"Bricks and More","Basic","no subtheme",157,90,"15.5 x 14 x 6 cm",1302,1,2,"Box","Retail",166,24.75,5,9.99,14.76,147.75,5
"22","2254-1","Mountain Shrine",2011,"Ninjago","Action/Adventure","Spinners",322,169,"26.1 x 19 x 6.1 cm",3024.99,2,2,"Box","{Not specified}",993,36.94,11,19.99,16.95,84.79,7
"23","1916-1","Starion Patrol",1993,"Space","Action/Adventure","Space Police 2",27,23,"7 x 7 x 4.6 cm",225.4,1,0,"Box","Retail - limited",576,43.04,2,2,41.04,2052,25
